,code,name,pageRank,embedding,tsne,community,pca_x,pca_y,tsne_x,tsne_y,時価総額,セクター_en,従業員数,PBR,総収入,純利益,年,名前,セクター,address,lon,lat,start_value,end_value,return_ratio,log_price_rate,marker,color_default
259,2220,亀田製菓,0.7124386444920674,"[-0.3228857219219208, -1.6276288032531738, 1.8012923002243042, -1.2844834327697754, -2.2927801609039307, 0.2780505120754242, 0.8286103010177612, 2.2055585384368896, 0.24714295566082, 0.1799018383026123]","[-35.964195251464844, 58.688846588134766]",266,-0.39952771165747314,-0.46190392772729433,-35.964195251464844,58.688846588134766,102889922560.0,Consumer Defensive,3379.0,1.879813,103808000000.0,4463000000.0,2020.0,亀田製菓,食品,〒950-0198 新潟市江南区亀田工業団地３−１−１,37.870358,139.08608999999998,4934.81,4845.0,-0.01819928224186957,-0.018366926294966338,-,blue
260,2221,岩塚製菓,0.5553214196115733,"[-0.3612554669380188, -1.8080072402954102, 1.7372417449951172, -1.3955892324447632, -1.8834046125411987, 0.20845016837120056, 0.6403104662895203, 2.044782876968384, 0.16913333535194397, 0.46189507842063904]","[-36.095703125, 58.42224884033203]",266,-0.4036387231200256,-0.5046617504230351,-36.095703125,58.42224884033203,24628260864.0,Consumer Defensive,920.0,0.46891367,22840000000.0,1769000000.0,2020.0,岩塚製菓,食品,〒949-5414 新潟県長岡市飯塚２９５８,37.38002028740551,138.7511965210559,4160.34,4370.0,0.05039491964599044,0.049166207404873485,-,blue
261,2222,寿スピリッツ,0.38577848707000156,"[0.42725270986557007, -1.53355073928833, 1.0247082710266113, -0.4395707845687866, -0.8059830069541931, -0.5149928331375122, -0.5659449696540833, 0.4686967432498932, 0.4832073152065277, 0.23610785603523254]","[-6.616659164428711, -2.998044967651367]",255,-0.27311653488721527,-0.17383330817848516,-6.616659164428711,-2.998044967651367,234952982528.0,Consumer Defensive,1520.0,11.907165,45180000000.0,4100000000.0,2020.0,寿スピリッツ,食品,〒683-0845 鳥取県米子市旗ヶ崎２０２８,35.432128999999996,133.31749,7985.73,5360.0,-0.3288027519087172,-0.3986922238207356,-,blue
262,2224,(株)コモ,1.8326770287938416,"[-0.6548448801040649, -3.11286997795105, 4.54351806640625, -1.6724753379821777, -1.6470682621002197, -0.7791262865066528, -3.0729997158050537, -0.17892752587795258, 1.7394133806228638, 2.190430164337158]","[-7.383962154388428, 64.26811218261719]",255,-0.1934816192887157,-0.23921223647382045,-7.383962154388428,64.26811218261719,9426834432.0,Consumer Defensive,223.0,5.1995792000000005,6289000000.0,266000000.0,2020.0,コモ,食品,〒485-0082 愛知県小牧市大字村中字下之坪５０５−１,35.298569,136.90888999999999,2515.99,2554.0,0.015107373240752238,0.014994393342850281,-,blue
263,2226,(株)湖池屋,0.4328460281190928,"[-0.32137879729270935, -1.3464363813400269, 1.874386191368103, -1.0716153383255005, -1.6702439785003662, -0.1298023760318756, 0.5779760479927063, 2.035637855529785, 0.24219465255737305, 0.3842572271823883]","[-36.17332077026367, 58.1273078918457]",266,-0.4468031541518234,-0.4586583850691695,-36.17332077026367,58.1273078918457,26723991552.0,Consumer Defensive,858.0,2.0243905,37739000000.0,643000000.0,2020.0,湖池屋,食品,〒175-0094 東京都板橋区成増５−９−７,35.782444,139.633774,4769.32,5030.0,0.054657687049726233,0.05321624702569752,-,blue
264,2229,カルビー,0.9998827571922446,"[-0.5417675971984863, -1.7659419775009155, 2.2435712814331055, -1.3392140865325928, -2.484977960586548, -0.15528635680675507, 0.8235326409339905, 2.5202291011810303, 0.30098623037338257, 0.44993624091148376]","[-35.55562973022461, 58.662174224853516]",266,-0.4676896905690785,-0.4577678720096581,-35.55562973022461,58.662174224853516,390732021760.0,Consumer Defensive,4053.0,2.2926533,255938000000.0,17539000000.0,2020.0,カルビー,食品,〒100-0005 東京都千代田区丸の内１−８−３ 丸の内トラストタワー本館,35.679321,139.77261399999998,3495.43,3110.0,-0.11026683412341252,-0.11683367483085255,-,blue
265,2264,森永乳業,1.5705164070008326,"[-0.1113041490316391, -2.3845362663269043, 1.2764620780944824, -1.6700135469436646, -2.9350390434265137, 1.0023925304412842, 0.8362399339675903, 2.12251615524292, 0.8746967911720276, 0.14475727081298828]","[-35.65068054199219, 60.26570129394531]",266,-0.30317506789033943,-0.38688919718845427,-35.65068054199219,60.26570129394531,260823367680.0,Consumer Defensive,6303.0,1.3376622,590892000000.0,18656000000.0,2020.0,森永乳業,食品,〒108-8384 東京都港区芝５−３３−１,35.64335999999999,139.750946,4383.83,5080.0,0.1588040594639847,0.14738849006880073,-,blue
266,2266,六甲バター,1.0882869598688556,"[-0.42902007699012756, -2.196253538131714, 1.106249451637268, -1.527745008468628, -2.9052224159240723, 1.1907607316970825, 0.8440395593643188, 2.1269235610961914, 0.9976843595504761, 0.29033005237579346]","[-35.711204528808594, 60.37656021118164]",266,-0.3288069979159153,-0.376052719730281,-35.711204528808594,60.37656021118164,33824223232.0,Consumer Defensive,457.0,2.5520554,37752000000.0,1887000000.0,2011.0,六甲バター,食品,〒651-0062 神戸市中央区坂口通１−３−１３,34.705128,135.214935,1702.78,1810.0,0.06296761766053162,0.061064635735434004,-,blue
267,2267,(株)ヤクルト本社,0.15000000000000002,"[-0.9425276517868042, -0.9267579317092896, 0.5618225336074829, -0.6551902294158936, -0.8147538900375366, 0.08363394439220428, 0.1633848398923874, 0.11993347108364105, 0.6081210374832153, -0.11966171115636826]","[-19.007051467895508, -3.5521745681762695]",266,-0.240622519243371,-0.29663492279345227,-19.007051467895508,-3.5521745681762695,911589179392.0,Consumer Defensive,28395.0,2.3302376,406004000000.0,39736000000.0,2020.0,ヤクルト本社,飲料,〒105-8660 東京都港区海岸１−１０−３０,35.65281545173344,139.76603401339858,5985.09,5200.0,-0.1311743014724925,-0.14061275090347636,-,blue
268,2268,Ｂ－Ｒ,0.20454166769050064,"[-0.35742783546447754, -0.5511999726295471, 0.6235981583595276, -0.3165507912635803, 1.0581016540527344, 0.7024438381195068, -1.0409796237945557, 0.33375266194343567, 0.5715346336364746, 0.20226255059242249]","[12.73379898071289, -51.98818588256836]",3712,0.18726343837810686,0.10230666432217578,12.73379898071289,-51.98818588256836,38206541824.0,Consumer Defensive,,3.9177985,17441000000.0,442000000.0,2020.0,Ｂ－Ｒ　サーティワン　アイスクリーム,食品,〒141-0021 東京都品川区上大崎３−１−１ 目黒セントラルスクエア,35.630000000672,139.71917500036002,3970.27,3925.0,-0.011402247202331323,-0.01146775122771367,-,blue
269,2269,明治ホールディングス,2.711101177940146,"[-0.32768914103507996, -2.699225664138794, 1.3886535167694092, -2.1092982292175293, -3.052933692932129, 0.7935119271278381, 0.4978678226470947, 2.2298355102539062, 0.9985864162445068, 0.4387945830821991]","[-35.26578903198242, 60.3982048034668]",266,-0.345940125774409,-0.384595347329167,-35.26578903198242,60.3982048034668,1035799822336.0,Consumer Defensive,17000.0,1.7417407,1252706000000.0,67313000000.0,2020.0,明治ホールディングス,食品,〒104-0031 東京都中央区京橋２−４−１６,35.67366,139.772232,7247.35,7260.0,0.0017454655839720225,0.001743944029209864,-,blue
270,2270,雪印メグミルク,1.7518643751274794,"[-0.3767932653427124, -2.503704309463501, 1.2549901008605957, -1.7436072826385498, -3.1779706478118896, 1.1770415306091309, 0.7314236760139465, 2.3144757747650146, 1.0392451286315918, 0.23254498839378357]","[-35.500736236572266, 60.485504150390625]",266,-0.32932189496423525,-0.3651864050718521,-35.500736236572266,60.485504150390625,156235677696.0,Consumer Defensive,5367.0,0.8323103999999999,613405000000.0,12165000000.0,2020.0,雪印メグミルク,食品,〒160-8575 東京都新宿区四谷本塩町５−１,35.685965746438,139.73189319016,2451.92,2207.0,-0.09988906652745606,-0.10523726383970604,-,blue
271,2281,プリマハム,2.4033103720338307,"[-0.44732916355133057, 0.9130844473838806, 2.065943956375122, -2.089566230773926, 0.36765870451927185, 3.775667905807495, -4.72703742980957, -0.24726034700870514, 0.9676921367645264, -0.014314467087388039]","[75.57345581054688, 18.565500259399414]",272,0.29070831560722993,0.10027764646523622,75.57345581054688,18.565500259399414,180897480704.0,Consumer Defensive,3361.0,1.8118314,418060000000.0,8823000000.0,2020.0,プリマハム,食品,〒140-8529 東京都品川区東品川４−１２−２ 品川シーサイドウエストタワー,35.597557,139.74203500000002,2481.36,3270.0,0.3178257084824451,0.2759831879447518,-,blue
