,code,時価総額,セクター_en,従業員数,PBR,総収入,純利益,年,名前,セクター,address,lon,lat,display_name,log_price_rate
1474,4800,19435700224.0,Communication Services,195.0,5.9655137,4172000000.0,765000000.0,2020.0,オリコン,通信サービス,〒106-0032 東京都港区六本木６−８−１０,35.658051,139.735779,4800 オリコン,-0.42965925524967213
1475,4801,24954937344.0,Consumer Cyclical,1144.0,1.1751285,53386000000.0,2138000000.0,2020.0,セントラルスポーツ,外食・娯楽サービス,〒104-8255 東京都中央区新川１−２１−２ 茅場町タワー,35.673866,139.789001,4801 セントラルスポーツ,-0.36744569609215305
1476,4809,16243865600.0,Industrials,55.0,2.75778,6738713000.0,566677000.0,2010.0,パラカ,他個人サービス・製品,〒105-6209 東京都港区愛宕２−５−１ 愛宕グリーンＭＯＲＩタワー,35.658866671013996,139.75214722419,4809 パラカ,-0.23900227370888905
1477,4812,238834860032.0,Technology,2879.0,4.095915,100679000000.0,6226000000.0,2019.0,電通国際情報サービス,ＳＩ・ソフトウェア開発,〒108-0075 東京都港区港南２−１７−１,35.621277,139.742752,4812 電通国際情報サービス,0.3833780333267214
1478,4813,31468644352.0,Technology,729.0,1.1125121999999998,9422000000.0,493000000.0,2020.0,ＡＣＣＥＳＳ,通信サービス,〒101-0022 東京都千代田区神田練塀町３ 大東ビル,35.697605552993004,139.777336109,4813 ＡＣＣＥＳＳ,-0.25855151188054365
1479,4814,2617539072.0,Technology,249.0,3.6763394,3204000000.0,-156000000.0,2020.0,ネクストウェア,ＳＩ・ソフトウェア開発,〒541-0057 大阪市中央区北久宝寺町４−３−１１,34.676521,135.501755,4814 ネクストウェア,-0.49669111283108586
1480,4816,310794387456.0,Communication Services,769.0,3.9680239999999998,54819000000.0,11437000000.0,2020.0,東映アニメーション,メディア,〒164-0001 東京都中野区中野４−１０−１ 中野セントラルパークイースト,35.704578337701996,139.66616833101006,4816 東映アニメーション,0.378708240270094
1481,4819,203253350400.0,Technology,954.0,3.6268733,30707000000.0,7420000000.0,2020.0,デジタルガレージ,ＳＩ・ソフトウェア開発,〒150-0022 東京都渋谷区恵比寿南３−５−７,35.643116,139.706985,4819 デジタルガレージ,-0.06637731131237126
1482,4820,59997286400.0,Healthcare,575.0,3.3868144,14023000000.0,1393000000.0,2020.0,ＥＭシステムズ,ヘルスケア製品・サービス,〒532-0003 大阪市淀川区宮原１−６−１ 新大阪ブリックビル,34.73053,135.497864,4820 ＥＭシステムズ,-0.014581658953180705
1483,4824,5797358592.0,Technology,194.0,1.6497898000000002,2305000000.0,35000000.0,2020.0,メディアシーク,通信サービス,〒106-0047 東京都港区南麻布３−２０−１ Ｄａｉｗａ麻布テラス,35.644432,139.73439,4824 メディアシーク,0.04569697032094205
1484,4825,62335086592.0,Industrials,1056.0,4.4130077000000005,17953000000.0,1629000000.0,2020.0,ウェザーニューズ,他産業サービス・製品,〒261-0023 千葉市美浜区中瀬１−３ 幕張テクノガーデン,35.649078,140.042831,4825 ウェザーニューズ,0.48256565537769863
1485,4826,16563319808.0,Technology,1555.0,1.3245844999999998,20685000000.0,1051000000.0,2020.0,ＣＩＪ,ＳＩ・ソフトウェア開発,〒220-0023 横浜市西区平沼１−２−２４,35.457813,139.624649,4826 ＣＩＪ,-0.0320118393656127
1486,4828,21046257664.0,Technology,618.0,3.5066144,17728000000.0,853000000.0,2020.0,ビジネスエンジニアリング,パッケージソフト,〒100-0004 東京都千代田区大手町１−８−１,35.684544,139.767624,4828 ビジネスエンジニアリング,0.06299959461295085
